Name,Status,Tenant,Site,Location,Rack,Rack Position,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Platform,Server Group,Backup,DTAP state,Harddisk,open actions,CPU,Memory,Monitor hardware,HW buy date,HW warranty expiration,Warranty type,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items,VCPUs,Memory (MB),Disk,Device,Virtual Disks,netbox_type
0311 PP,Active,Network Infrastructure,Equinix AM8 (am8),0G:00ZE0A row 03,0311,,Patchpanel,Unknown,PatchPanel (0U) (half-depth),,1425,,,,Netherlands,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:03:59.126798Z,2025-07-22T10:03:59.126816Z,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,,,,,,devices
939VT2J,Active,,Unknown,,,,Server,Unknown,Server,,249,,939VT2J,,,,,,,,,,,,,,,,,,,,"Oude vw1, nu testmachine

Niet meer productie waardig.",,,2025-07-22T09:45:29.933056Z,2025-08-27T07:08:38.238424Z,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,,,,,,devices
acp147,Active,Network Infrastructure,Unknown,,,,PDU,Unknown,PDU,,1105,,ZA1844008754,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:57:44.834519Z,2025-07-22T09:57:44.834536Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
acp161,Active,Network Infrastructure,Unknown,,,,PDU,Unknown,PDU,,1232,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:00:12.851451Z,2025-07-22T10:00:12.851468Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
acp203,Active,Network Infrastructure,Unknown,,,,PDU,Unknown,PDU,,1537,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:06:12.313397Z,2025-07-22T10:06:12.313415Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
alm-duin-f0-ax01,Active,Network Infrastructure,Unknown,,,,Network switch,Huawei,S5700-48TP-PWR-SI,,1587,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:07:05.751487Z,2025-07-22T13:04:16.010878Z,,,,,,,,,,,,,0,0,0,0,243,0,0,0,0,0,,,,,,devices
alm-duin-f0-ax01-00,Active,Internal Technology Services,Office IT Almere,Floor 0 - MER,MER-1,Rear 27.0,Access Switch,Huawei,S5731-L48P4X-00,10.30.16.20/32,2036,,1019B0090407,,Netherlands,,,,27.0,Rear,,,Front to rear,10.30.16.20/32,,,,alm-duin-f0-ax01,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:14.754848Z,2025-07-22T13:27:45.609105Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0,,,,,,devices
alm-duin-f0-ax01-01,Active,Internal Technology Services,Office IT Almere,Floor 0 - MER,MER-1,Rear 25.0,Access Switch,Huawei,S5731-L48P4X-01,,2037,,DM19B0003713,,Netherlands,,,,25.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:25.384070Z,2025-07-22T13:25:01.574837Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f0-ax01-02,Active,Internal Technology Services,Office IT Almere,Floor 0 - MER,MER-1,Rear 23.0,Access Switch,Huawei,S5731-L48P4X-02,,2038,,DM20B0012090,,Netherlands,,,,23.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:36.095445Z,2025-07-22T13:25:01.945581Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f0-ax01-03,Active,Internal Technology Services,Office IT Almere,Floor 0 - MER,MER-2,Rear 29.0,Access Switch,Huawei,S5731-L48P4X-03,,2039,,DM19B0004283,,Netherlands,,,,29.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:45.879687Z,2025-07-22T13:25:02.311035Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f0-ax01-04,Active,Internal Technology Services,Office IT Almere,Floor 0 - MER,MER-2,Rear 27.0,Access Switch,Huawei,S5731-L48P4X-04,,2040,,1019B0090404,,Netherlands,,,,27.0,Rear,,,Front to rear,,,,,alm-duin-f0-ax01,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:06:56.197491Z,2025-07-22T13:25:02.676640Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f0-core-00,Active,Internal Technology Services,Office IT Almere,Floor 0 - MER,MER-2,Front 39.0,Core Switch,Huawei,S6720-32X-LI-32S-AC-00,10.30.16.11/32,2041,,21980106933GK7000065,,Netherlands,,,,39.0,Front,,,,10.30.16.11/32,,,,alm-duin-f0-core,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:07.216246Z,2025-07-22T13:27:46.469825Z,,,,,,,,,,,,,2,0,1,0,39,0,0,0,0,0,,,,,,devices
alm-duin-f0-core-01,Active,Internal Technology Services,Office IT Almere,Floor 0 - MER,MER-1,Front 39.0,Core Switch,Huawei,S6720-32X-LI-32S-AC-01,,2042,,21980106933GK7000049,,Netherlands,,,,39.0,Front,,,,,,,,alm-duin-f0-core,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:15.410789Z,2025-07-22T13:25:03.800475Z,,,,,,,,,,,,,2,0,0,0,32,0,0,0,0,0,,,,,,devices
alm-duin-f1-ax02-00,Active,Internal Technology Services,Office IT Almere,Floor 1 - MER,MER-1,Front 29.0,Access Switch,Huawei,S5731-L48P4X-00,10.30.16.21/32,2043,,DM19B0004302,,Netherlands,,,,29.0,Front,,,Front to rear,10.30.16.21/32,,,,alm-duin-f1-ax02,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:22.482398Z,2025-07-22T13:27:46.958450Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0,,,,,,devices
alm-duin-f1-ax02-01,Active,Internal Technology Services,Office IT Almere,Floor 1 - MER,MER-1,Front 27.0,Access Switch,Huawei,S5731-L48P4X-01,,2044,,DM19B0003654,,Netherlands,,,,27.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:33.792246Z,2025-07-22T13:25:04.549323Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f1-ax02-02,Active,Internal Technology Services,Office IT Almere,Floor 1 - MER,MER-1,Front 25.0,Access Switch,Huawei,S5731-L48P4X-02,,2045,,1019B0090431,,Netherlands,,,,25.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:43.907008Z,2025-07-22T13:25:04.898328Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f1-ax02-03,Active,Internal Technology Services,Office IT Almere,Floor 1 - MER,MER-2,Front 31.0,Access Switch,Huawei,S5731-L48P4X-03,,2046,,DM19B0003530,,Netherlands,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:07:54.001897Z,2025-07-22T13:25:05.276081Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f1-ax02-04,Active,Internal Technology Services,Office IT Almere,Floor 1 - MER,MER-2,Front 29.0,Access Switch,Huawei,S5731-L48P4X-04,,2047,,DM20B0012109,,Netherlands,,,,29.0,Front,,,Front to rear,,,,,alm-duin-f1-ax02,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:04.422739Z,2025-07-22T13:25:05.625537Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f2-ax03-00,Active,Internal Technology Services,Office IT Almere,Floor 2 - MER,MER-1,Front 33.0,Access Switch,Huawei,S5731-L48P4X-00,10.30.16.22/32,2048,,DM19B0004306,,Netherlands,,,,33.0,Front,,,Front to rear,10.30.16.22/32,,,,alm-duin-f2-ax03,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:15.060329Z,2025-07-22T13:27:47.451316Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0,,,,,,devices
alm-duin-f2-ax03-01,Active,Internal Technology Services,Office IT Almere,Floor 2 - MER,MER-1,Front 31.0,Access Switch,Huawei,S5731-L48P4X-01,,2049,,DM19B0004285,,Netherlands,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f2-ax03,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:26.504940Z,2025-07-22T13:25:06.756610Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f2-ax03-02,Active,Internal Technology Services,Office IT Almere,Floor 2 - MER,MER-1,Front 29.0,Access Switch,Huawei,S5731-L48P4X-02,,2050,,DM19B0004300,,Netherlands,,,,29.0,Front,,,Front to rear,,,,,alm-duin-f2-ax03,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:37.277957Z,2025-07-22T13:25:07.097944Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f2-ax03-03,Active,Internal Technology Services,Office IT Almere,Floor 2 - MER,MER-2,Front 39.0,Access Switch,Huawei,S5731-L48P4X-03,,2051,,DM20B0012118,,Netherlands,,,,39.0,Front,,,Front to rear,,,,,alm-duin-f2-ax03,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:47.612597Z,2025-07-22T13:25:07.444934Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f3-ax04-00,Active,Internal Technology Services,Office IT Almere,Floor 3 - MER,MER-1,Front 31.0,Access Switch,Huawei,S5731-L48P4X-00,,2052,,DM19B0004303,,Netherlands,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:08:59.108232Z,2025-07-22T13:25:07.683769Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0,,,,,,devices
alm-duin-f3-ax04-01,Active,Internal Technology Services,Office IT Almere,Floor 3 - MER,MER-1,Front 29.0,Access Switch,Huawei,S5731-L48P4X-01,,2053,,1019B0090432,,Netherlands,,,,29.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:10.082150Z,2025-07-22T13:25:08.180860Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f3-ax04-02,Active,Internal Technology Services,Office IT Almere,Floor 3 - MER,MER-1,Front 27.0,Access Switch,Huawei,S5731-L48P4X-02,,2054,,DM20B0012103,,Netherlands,,,,27.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:21.360227Z,2025-07-22T13:25:08.533702Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f3-ax04-03,Active,Internal Technology Services,Office IT Almere,Floor 3 - MER,MER-2,Front 37.0,Access Switch,Huawei,S5731-L48P4X-03,,2055,,DM19B0004265,,Netherlands,,,,37.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:31.778110Z,2025-07-22T13:25:08.883350Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f3-ax04-04,Active,Internal Technology Services,Office IT Almere,Floor 3 - MER,MER-2,Front 35.0,Access Switch,Huawei,S5731-L48P4X-04,,2056,,DM19B0004298,,Netherlands,,,,35.0,Front,,,Front to rear,,,,,alm-duin-f3-ax04,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:41.998426Z,2025-07-22T13:25:09.624757Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f4-ax05-00,Active,Internal Technology Services,Office IT Almere,Floor 4 - MER,MER-1,Front 25.0,Access Switch,Huawei,S5731-L48P4X-00,10.30.16.24/32,2057,,DM20B0012098,,Netherlands,,,,25.0,Front,,,Front to rear,10.30.16.24/32,,,,alm-duin-f4-ax05,1,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:09:52.740970Z,2025-07-22T13:27:47.946230Z,,,,,,,,,,,,,1,0,1,0,55,0,0,0,0,0,,,,,,devices
alm-duin-f4-ax05-01,Active,Internal Technology Services,Office IT Almere,Floor 4 - MER,MER-1,Front 23.0,Access Switch,Huawei,S5731-L48P4X-01,,2058,,1019B0090363,,Netherlands,,,,23.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,2,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:05.121362Z,2025-07-22T13:25:10.374574Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f4-ax05-02,Active,Internal Technology Services,Office IT Almere,Floor 4 - MER,MER-1,Front 21.0,Access Switch,Huawei,S5731-L48P4X-02,,2059,,DM19B0004291,,Netherlands,,,,21.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,3,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:15.852197Z,2025-07-22T13:25:10.734668Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f4-ax05-03,Active,Internal Technology Services,Office IT Almere,Floor 4 - MER,MER-1,Front 19.0,Access Switch,Huawei,S5731-L48P4X-03,,2060,,DM19B0004275,,Netherlands,,,,19.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,4,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:26.621065Z,2025-07-22T13:25:11.092884Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f4-ax05-04,Active,Internal Technology Services,Office IT Almere,Floor 4 - MER,MER-2,Front 33.0,Access Switch,Huawei,S5731-L48P4X-04,,2061,,1019B0090435,,Netherlands,,,,33.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,5,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:36.936985Z,2025-07-22T13:25:11.443152Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
alm-duin-f4-ax05-05,Active,Internal Technology Services,Office IT Almere,Floor 4 - MER,MER-2,Front 31.0,Access Switch,Huawei,S5731-L48P4X-05,,2062,,1019B0090405,,Netherlands,,,,31.0,Front,,,Front to rear,,,,,alm-duin-f4-ax05,6,,,,,GO / Internal Technology Services (responsible),,2025-07-22T13:10:47.654188Z,2025-07-22T13:25:11.795071Z,,,,,,,,,,,,,1,0,1,0,53,0,0,0,0,0,,,,,,devices
apc1,Active,Network Infrastructure,Globalswitch Amsterdam (gsw),"GSW, 27",U27,Rear 14.0,PDU,APC,AP7921 (half-depth),172.17.13.1/32,201,,5A1231E01133,,Netherlands,,,,14.0,Rear,,,,172.17.13.1/32,,,,,,,,,,SwyxOn development (responsible),,2025-07-22T09:44:49.766242Z,2025-07-22T09:44:50.131583Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0,,,,,,devices
apc2,Active,Network Infrastructure,Globalswitch Amsterdam (gsw),"GSW, 27",U27,Rear 13.0,PDU,APC,AP7921 (half-depth),172.17.13.2/32,202,,5A1231E01030,,Netherlands,,,,13.0,Rear,,,,172.17.13.2/32,,,,,,,,,,GO / TO / AM / Technical Management (responsible),,2025-07-22T09:44:50.665963Z,2025-07-22T09:44:51.016740Z,,,,,,,,,,,,,0,0,0,8,2,0,0,0,0,0,,,,,,devices
